Medicine,Condition,Review
Trulicity,"Diabetes, Type 2","""Started Trulicity in February, 2017 with an A1C of 10.8 and blood sugar average of 285, while on Janumet!  Now, October, 2017, I&#039;ve lost 50lbs, my A1C is 5.7 and blood sugar average is 120.  Downside, I&#039;m still getting nauseated and throwing up at least 1 day a week.  I have anti-nausea medication, but it knocks me out.  Overall, I&#039;ll take the one down day a week to keep my numbers in check."""
Insulin degludec,"Diabetes, Type 1","""Type 1 diabetic for 28 years.  Went from split dose Levemir to spit dose Tresiba.  I was dizzy and still having high DP and early evening.  Switched to dosing Tresiba  X1/d.  Blood sugars were perfect no hypos or highs.  But the headaches were so debilitating I could not participate in life.  I am going back to Levemir.  My total dose that worked on Tresiba was only 4 units ( Levemir it was 9).  Also, I totally lost my appetite and threw up a couple of times but still somewhat bizarrely gained 3 pounds! I went from 115-117.9.  I have a hunch I was starting to develope peripheral edema.  I am a medical professional so I just use my own judgement wether to continue.  I think everyone should give Tresiba a try.  But be cautious and listen to your body."""
Amaryl,"Diabetes, Type 2","""Very effective medicine, get gastric issues though as side effect. Using since 1 year."""
Saxagliptin,"Diabetes, Type 2","""I&#039;ve been a diabetic for two years.  The first year my numbers were maxing out my meter. At 9 months I started on low dose of onglazia.  I started feeling better. Then by 1 full year as diabetic I was taking a slightly higher dose. I ve dropped 50lbs with the metformin and onglazia combined.  Now at two years of taking onglazia my AIC is 5.7 and my average blood sugar is 119. I have just been told doc wants to take me off onglazia.  She&#039;s concerned my numbers are to low and is even planning on getting me off metformin.  I am scared to of that.  I&#039;m finally feeling like my old self. Even at $35 a month onglazia is so worth the cost!"""
Byetta,"Diabetes, Type 2","""I eat right after I take Byetta and if I stay away from the fatty greasy food I do not have any problems with loose stools. I love the fact my HUGE hunger is now GONE! I lost about 8 lbs but, gained only one pound back after Thanksgiving. """
Trulicity,"Diabetes, Type 2","""I can agree that the fatigue is noticeable. My biggest shock was the diarrhea. I hadn&#039;t planned for it, and luckily I was at home when it hit the first time. It was akin to the flushing out one gets when they are preparing for a colonoscopy. I was noticing my abdomen growling. I am a bit lactose intolerant, and this was similar to if I have cereal with milk. Then suddenly I had THE URGE!!!! I was wearing shorts, and just made it to the bathroom and was able to jump into the shower as I knew there was no way I&#039;d be able to drop trou and hit the toilet, when it hit. It was as if a dam had opened. I just turned on the water, and slowly removed my clothes as wave after wave struck. Luckily, that first time was the worst. Now I&#039;m prepared."""
Trulicity,"Diabetes, Type 2","""I was on trulicity .75 for two weeks and was just upped to 1.5...my first injection went fine till I woke up next morning with severe body aches in all my joints and having stomach aches and diarrhea. That lasted for about a week. I took second .75 shot and no body aches but still get the occasional stomach ache and still having diarrhea, have to stay close to a bathroom. I lost some weight even tho only been two weeks, but maybe just because I&#039;m on the toilet so much seems more goes out than in. My sugars didn&#039;t go down as much as I wanted but are definitely better. So in a few days I start 1.5 I hope this will do the trick."""
Canagliflozin,"Diabetes, Type 2","""I have been taking invokana for about a year and a half now after taking 1000mg of metformin daily and levemir and humalog daily. The metformin and insulin was not working as well as Dr. wanted it to so I was switched to the extended release metformin 1000mg twice a day and added invokana 100mg. I have since been able to go completely off of the two insulin pens and my sugars have been in normal range. I have lost a little bit of weight but I have developed a horrible  itch and yeast infection that will not go away. I was given diflucan a while ago but it didn&#039;t help. I have also recently noticed that I have been losing a ton of hair. I literally get handfuls of hair after a shower and am pulling handfuls out of my brush every time I brush."""
Tresiba,"Diabetes, Type 1","""Went from twice daily Levemir to Tresiba. Controlled blood sugars equally well. Did like the convenience of once daily injections. HOWEVER, I gained 12 pounds over 4 months. Cannot attribute the weight gain to anything else (exact same diet, exercise, and labwork fine)."""
Sitagliptin,"Diabetes, Type 2","""I&#039;ve been on Januvia for about 5 months after being on Metformin alone twice a day for 6 months. My average blood glucose before meal is in the 80s even though I am non compliant with my exercise schedule, I have to admit it. But I noticed mild knee pain, not sure if it is related to medicines. Other than that I&#039;m happy with Januvia."""
Dulaglutide,"Diabetes, Type 2","""In the beginning I had some diarrhea and belly issues...that subsided after a few days. I only have one reaction to it now and that is I get an itchy hive at the injection site about 12 hours after I use it. It goes away within a few hours, I&#039;m not worried. It has lowered my HA1C&#039;s like a charm. I LOVE this injection, I feel fuller longer, I no longer crave sugar, I&#039;ve lost 25 pounds without really trying and I have no side effects at all. One tip...to ease the burn of the shot I put it in a cup of warm water so it comes up past room temperature. Also I use the coupon on the website to pay for it."""
Invokana,"Diabetes, Type 2","""Its been a life saver for me. I have lost 61 pds since I started using Invokana. I love it. I just wish it was more affordable. I am almost at my goal weight. I look and feel great."""
Janumet,"Diabetes, Type 2","""I was diagnosed with Type 2 about 6 months ago. I was given Janumet 50/500. It worked great until about a month ago. My sugar in the mornings have risen from the 120&#039;s to anywhere up to 190. I feel pretty bad in the mornings &amp; sometimes throughout the day. I&#039;ve also noticed I sweat at night. I get nauseated a lot and vomit at times. Not sure what my doc will do when my A1C results come back."""
Insulin degludec,"Diabetes, Type 1","""The only thing I hate is the pen injector pushes very hard it actually bothers my thumb joint after 6 months I have to use my other hand to push the injector button in. They need to get them like my lantuas which hardly takes any effort. I will probrably switch back to lantuas just because of that.
You think after all the effort put into creating insulin they wouldn&#039;t cut corners on the injection pen.."""
Afrezza,"Diabetes, Type 2","""All the positive reviews on here are written by paidpeople and MNKD shareholders. Afrezza isn&#039;t being prescribed because it&#039;s an expensive drug with unknown long term effects on the lungs. Proceed with caution"""
